country,year,fdi_inflow,bits,ln_gdp_pr_cap,ln_population,economic_growth,inflation,resource_rent,bilateral_trade_agreements,wto_member,polcon3
Brazil,1990,7.130626678466797,0,8.735160827636719,18.82614517211914,-0.05578932911157608,2509.469970703125,2.200000047683716,0,1,0.3100000023841858
Brazil,1991,7.720761775970459,0,8.735542297363281,18.82614517211914,3.822862054221332e-4,415.30999755859375,2.299999952316284,0,1,0.10999999940395355
Brazil,1992,7.2288079261779785,0,8.711434364318848,18.82614517211914,-0.023820171132683754,968.53997802734375,2.200000047683716,0,1,0.10999999940395355
Brazil,1993,7.715249538421631,0,8.747296333312988,18.82614517211914,0.03651302680373192,1996.6400146484375,1.7999999523162842,0,1,0.10999999940395355
Brazil,1994,8.41204833984375,18.122600555419922,8.7910614013671875,18.890684127807617,0.04473654553294182,2239.1298828125,1.2999999523162842,0,1,0.10999999940395355
Brazil,1995,9.286532402038574,40.34186553955078,8.819524765014648,18.890684127807617,0.02887222357094288,77.589996337890625,1.100000023841858,0,1,0.11999999731779099
Brazil,1996,9.832508087158203,43.9819221496582,8.836583137512207,18.890684127807617,0.017204776406288147,17.3700008392334,1.2999999523162842,0,1,0.11999999731779099
Brazil,1997,10.231319427490234,45.15104293823242,8.855711936950684,18.890684127807617,0.019313093274831772,8.220000267028809,1.2000000476837158,0,1,0.11999999731779099
Brazil,1998,10.209333419799805,56.332706451416016,8.81466293334961,18.951309204101563,-0.04021741822361946,4.880000114440918,1.2000000476837158,0,1,0.11999999731779099
Brazil,1999,10.332417488098145,67.41829681396484,8.833086013793945,18.951309204101563,0.018593043088912964,4.599999904632568,2.0999999046325684,0,1,0.14000000059604645
Brazil,2000,9.931731224060059,68.77168273925781,8.86851692199707,18.951309204101563,0.036065906286239624,7.989999771118164,3,0,1,0.14000000059604645
Brazil,2001,9.627474784851074,60.686927795410156,8.839195251464844,18.951309204101563,-0.028895584866404533,7.409999847412109,3.299999952316284,0,1,0.14000000059604645
Brazil,2002,NA,41.44085693359375,8.839195251464844,18.951309204101563,0,NA,NA,0,NA,NA
Bulgaria,1960,NA,0,NA,15.882372856140137,NA,NA,NA,0,0,0
Bulgaria,1961,NA,0,NA,15.882372856140137,NA,NA,NA,0,0,0
Bulgaria,1962,NA,0,NA,15.894951820373535,NA,NA,NA,0,0,0
Bulgaria,1963,NA,0,NA,15.907374382019043,NA,NA,NA,0,0,0
Bulgaria,1964,NA,0,NA,15.907374382019043,NA,NA,NA,0,0,0
Bulgaria,1965,NA,0,NA,15.919644355773926,NA,NA,NA,0,0,0
Bulgaria,1966,NA,0,NA,15.931766510009766,NA,NA,NA,0,0,0
Bulgaria,1967,NA,0,NA,15.931766510009766,NA,NA,NA,0,0,0
Bulgaria,1968,NA,0,NA,15.943741798400879,NA,NA,NA,0,0,0
Bulgaria,1969,NA,0,NA,15.943741798400879,NA,NA,NA,0,0,0
Bulgaria,1970,NA,0,NA,15.95557689666748,NA,NA,NA,0,0,0
Bulgaria,1971,NA,0,NA,15.95557689666748,NA,NA,NA,0,0,0
Bulgaria,1972,NA,0,NA,15.967272758483887,NA,NA,NA,0,0,0
Bulgaria,1973,NA,0,NA,15.967272758483887,NA,NA,NA,0,0,0
Bulgaria,1974,NA,0,NA,15.978833198547363,NA,NA,NA,0,0,0
