"idno","cntry","country","gender","age","income_feel","income_decile","trust_parl","trust_legalsys","trust_police","trust_politicians","trust_polparties","trust_eurparl","trust_unitednations"
741,"AT","Austria","male",39,2,7,9,10,7,7,6,7,7
742,"AT","Austria","female",73,2,3,7,7,5,4,4,6,6
749,"AT","Austria","male",16,2,6,2,6,9,2,2,3,6
750,"AT","Austria",NA,50,3,9,2,5,10,2,2,3,7
751,"AT","Austria","female",34,1,7,4,7,7,4,4,4,7
752,"AT","Austria","female",50,2,5,6,8,7,4,5,8,7
753,"AT","Austria","female",33,2,4,8,9,9,4,4,5,8
761,"AT","Austria","male",25,3,1,0,0,0,0,0,0,0
762,"AT","Austria","male",32,1,5,9,8,9,9,9,6,9
763,"AT","Austria",NA,52,1,3,5,5,7,5,5,6,5
764,"AT","Austria","male",31,1,3,7,7,7,7,7,5,5
765,"AT","Austria",NA,24,2,2,6,7,8,7,8,7,7
766,"AT","Austria","female",25,2,2,4,4,7,4,4,0,0
773,"AT","Austria",NA,39,2,2,5,7,8,2,2,1,NA
774,"AT","Austria","male",16,2,NA,0,2,1,0,0,0,0
775,"AT","Austria","male",43,2,NA,3,3,3,4,2,2,2
776,"AT","Austria","female",49,1,NA,3,5,5,5,5,5,5
777,"AT","Austria","male",53,1,NA,4,6,2,3,4,4,4
778,"AT","Austria","male",17,2,6,5,6,5,3,4,6,6
779,"AT","Austria",NA,48,3,NA,8,6,8,10,10,10,10
780,"AT","Austria","male",26,2,NA,NA,8,8,2,2,5,5
781,"AT","Austria","male",41,2,NA,2,6,4,4,3,5,5
785,"AT","Austria","male",50,1,7,6,8,8,6,5,7,6
786,"AT","Austria",NA,22,2,NA,1,0,5,0,0,0,0
787,"AT","Austria",NA,71,2,2,6,7,7,5,5,5,NA
788,"AT","Austria","male",43,2,2,5,7,9,3,5,6,6
789,"AT","Austria","male",28,2,2,7,8,8,5,4,5,5
790,"AT","Austria",NA,67,2,NA,10,10,10,5,5,NA,NA
797,"AT","Austria","male",32,1,8,6,1,0,2,3,9,10
798,"AT","Austria","male",36,3,1,0,5,4,0,0,1,2
799,"AT","Austria","female",73,3,2,3,3,4,1,1,2,2
800,"AT","Austria","male",72,1,7,3,3,6,4,3,3,4
805,"AT","Austria","female",29,3,2,3,2,4,1,0,5,4
